web-scraper-order,web-scraper-start-url,nama_produk,diskon_produk,Harga_produk
"1707541639-51","https://www.klikindomaret.com/category/sarapan","Kellogg's Cereal Froot Loops 55G","","Rp 10.900"
"1707541639-52","https://www.klikindomaret.com/category/sarapan","L'agie Choco Chips 45G","","Rp 4.500"
"1707541639-53","https://www.klikindomaret.com/category/sarapan","L'agie Hegel-Slag Safari Polos 100G","","Rp 6.300"
"1707541639-54","https://www.klikindomaret.com/category/sarapan","L-Men Crunchy Chocolate Bar 25G","","Rp 10.700"
"1707541639-55","https://www.klikindomaret.com/category/sarapan","Milo Sereal Bar Cokelat 23.5G","","Rp 7.900"
"1707541639-56","https://www.klikindomaret.com/category/sarapan","Morin Jam Blueberry 170G","","Rp 29.000"
"1707541639-57","https://www.klikindomaret.com/category/sarapan","Morin Jam Choco Peanut 150G","","Rp 23.600"
"1707541639-58","https://www.klikindomaret.com/category/sarapan","Morin Jam Hazelnut With Cocoa 150G","","Rp 26.800"
"1707541639-59","https://www.klikindomaret.com/category/sarapan","Morin Jam Peanut Butter 150G","","Rp 24.700"
"1707541639-60","https://www.klikindomaret.com/category/sarapan","Morin Jam Strawberry 170G","","Rp 23.900"
"1707541639-61","https://www.klikindomaret.com/category/sarapan","Morin Kaya Spread 170G","","Rp 20.200"
"1707541639-62","https://www.klikindomaret.com/category/sarapan","Mr.Bread Roti Kasur","","Rp 15.000"
"1707541639-63","https://www.klikindomaret.com/category/sarapan","Mr.Bread Roti Manis Isi Coklat Keju","","Rp 6.500"
"1707541639-64","https://www.klikindomaret.com/category/sarapan","Mr.Bread Roti Manis Sobek Keju","","Rp 15.000"
"1707541639-65","https://www.klikindomaret.com/category/sarapan","Mr.Bread Roti Tawar","","Rp 12.000"
"1707541639-66","https://www.klikindomaret.com/category/sarapan","Mr.Bread Roti Tawar 4'S Choco Chips","","Rp 10.000"
"1707541639-67","https://www.klikindomaret.com/category/sarapan","Mr.Bread Roti Tawar Gandum Multiseed","","Rp 18.500"
"1707541639-68","https://www.klikindomaret.com/category/sarapan","Mr.Bread Roti Tawar Kupas","","Rp 16.500"
"1707541639-69","https://www.klikindomaret.com/category/sarapan","Mr.Bread Roti Tawar Tebal","","Rp 17.500"
"1707541639-70","https://www.klikindomaret.com/category/sarapan","Nestle Cereal Breakfast Combo Onpack Koko Krunch 2X32G","","Rp 14.100"
"1707541639-71","https://www.klikindomaret.com/category/sarapan","Nestle Cereal Breakfast Combo Pack Honey Stars 30G","","Rp 9.100"
"1707541639-72","https://www.klikindomaret.com/category/sarapan","Nestle Cereal Breakfast Combo Pack Koko Krunch 30G","","Rp 9.100"
"1707541639-73","https://www.klikindomaret.com/category/sarapan","Nestle Cereal Breakfast Double Choco Koko Krunch 30G","","Rp 9.100"
"1707541639-74","https://www.klikindomaret.com/category/sarapan","Nestle Cereal Breakfast Honey Stars 70G","","Rp 12.500"
"1707541639-75","https://www.klikindomaret.com/category/sarapan","Nestle Cereal Breakfast Koko Krunch 300g","","Rp 42.700"
"1707541639-76","https://www.klikindomaret.com/category/sarapan","Nestle Cereal Breakfast Koko Krunch 70G","","Rp 9.700"
"1707541639-77","https://www.klikindomaret.com/category/sarapan","Nestle Koko Krunch Cereal Bar Cookie 14.5G","","Rp 3.900"
"1707541639-78","https://www.klikindomaret.com/category/sarapan","Nusantara Madu Murni 250Ml","","Rp 69.800"
"1707541639-79","https://www.klikindomaret.com/category/sarapan","Nusantara Madu Royal Jelly & Bee Pollen 250Ml","","Rp 82.000"
"1707541639-80","https://www.klikindomaret.com/category/sarapan","Ovomaltine Crunchy Cream 230G","","Rp 59.000"
"1707541639-81","https://www.klikindomaret.com/category/sarapan","Prime Bread Duo Custard Pisang & Cokelat","","Rp 5.000"
"1707541639-82","https://www.klikindomaret.com/category/sarapan","Prime Bread Duo Mentega Gula & Chocochip","","Rp 5.000"
"1707541639-83","https://www.klikindomaret.com/category/sarapan","Prime Bread Prime Choco Isi Krim Cokelat 50G","","Rp 5.500"
"1707541639-84","https://www.klikindomaret.com/category/sarapan","Prime Bread Prime Choco Isi Krim Tiramisu 50G","","Rp 5.500"
"1707541639-85","https://www.klikindomaret.com/category/sarapan","Prime Bread Prime Choco Isi Krim Vanilla 50G","","Rp 5.500"
"1707541639-86","https://www.klikindomaret.com/category/sarapan","Prime Bread Roti Manis Isi Krim Cokelat","","Rp 4.500"
"1707541639-87","https://www.klikindomaret.com/category/sarapan","Prime Bread Roti Manis Isi Krim Jagung Manis","","Rp 4.500"
"1707541639-88","https://www.klikindomaret.com/category/sarapan","Prime Bread Roti Manis Isi Krim Keju","","Rp 4.500"
"1707541639-89","https://www.klikindomaret.com/category/sarapan","Prime Bread Roti Manis Isi Krim Moka","","Rp 4.500"
"1707541639-90","https://www.klikindomaret.com/category/sarapan","Prime Bread Roti Manis Isi Krim Vanila","","Rp 4.500"
"1707541639-91","https://www.klikindomaret.com/category/sarapan","Quaker Minuman Sereal 3 In 1 Cokelat 8X28G","","Rp 27.200"
"1707541639-92","https://www.klikindomaret.com/category/sarapan","Quaker Minuman Sereal 3 In 1 Vanilla 8X28G","","Rp 27.200"
"1707541639-93","https://www.klikindomaret.com/category/sarapan","Quaker Oatmeal Instant Merah 800G","","Rp 53.200"
"1707541639-94","https://www.klikindomaret.com/category/sarapan","Sari Kue International Cake Brownies 54G","","Rp 12.500"
"1707541639-95","https://www.klikindomaret.com/category/sarapan","Sari Kue International Cake Red Velvet 54G","","Rp 15.500"
"1707541639-96","https://www.klikindomaret.com/category/sarapan","Sari Kue International Cake Triple Choco 54G","","Rp 13.500"
"1707541639-97","https://www.klikindomaret.com/category/sarapan","Sari Roti Dorayaki Coklat 55G","","Rp 6.000"
"1707541639-98","https://www.klikindomaret.com/category/sarapan","Sari Roti Lapis Bamkuhen","","Rp 10.000"
"1707541639-99","https://www.klikindomaret.com/category/sarapan","Sari Roti Roti Manis Choco Bun 55g","","Rp 5.000"
"1707541639-100","https://www.klikindomaret.com/category/sarapan","Sari Roti Roti Manis Choco Cheese Bun 55G","","Rp 5.000"
"1707541639-101","https://www.klikindomaret.com/category/sarapan","Sari Roti Roti Manis Isi Krim Coklat","","Rp 6.000"
"1707541639-102","https://www.klikindomaret.com/category/sarapan","Sari Roti Roti Manis Isi Krim Keju 72G","","Rp 6.000"
"1707541639-103","https://www.klikindomaret.com/category/sarapan","Sari Roti Roti Manis Isi Krim Mocca","","Rp 6.000"
"1707541639-104","https://www.klikindomaret.com/category/sarapan","Sari Roti Roti Manis Kasur Keju 180G","","Rp 13.000"
"1707541639-105","https://www.klikindomaret.com/category/sarapan","Sari Roti Roti Manis Sobek Duo Cokelat Coklat 114G","","Rp 10.000"
"1707541639-106","https://www.klikindomaret.com/category/sarapan","Sari Roti Roti Manis Sobek Duo Cokelat Keju 107G","","Rp 10.500"
"1707541639-107","https://www.klikindomaret.com/category/sarapan","Sari Roti Roti Manis Sobek Duo Cokelat Srikaya 108G","","Rp 10.500"
"1707541639-108","https://www.klikindomaret.com/category/sarapan","Sari Roti Roti Tawar Double Soft","","Rp 20.000"
"1707541639-109","https://www.klikindomaret.com/category/sarapan","Sari Roti Roti Tawar Double Soft Premium","","Rp 24.000"
"1707541639-110","https://www.klikindomaret.com/category/sarapan","Sari Roti Roti Tawar Gandum","","Rp 22.000"
"1707541639-111","https://www.klikindomaret.com/category/sarapan","Sari Roti Roti Tawar Jumbo Special","","Rp 18.000"
"1707541639-112","https://www.klikindomaret.com/category/sarapan","Sari Roti Roti Tawar Kupas Extra Kalsium 200G","","Rp 17.500"
"1707541639-113","https://www.klikindomaret.com/category/sarapan","Sari Roti Roti Tawar Milky Soft","","Rp 13.000"
"1707541639-114","https://www.klikindomaret.com/category/sarapan","Sari Roti Roti Tawar Pandan","","Rp 16.500"
"1707541639-115","https://www.klikindomaret.com/category/sarapan","Sari Roti Roti Tawar Special","","Rp 15.000"
"1707541639-116","https://www.klikindomaret.com/category/sarapan","Sharon Dora Yaki Chocolate 65G","","Rp 6.000"
"1707541639-117","https://www.klikindomaret.com/category/sarapan","Sharon Roombutter Cheese 200G","","Rp 17.000"
"1707541639-118","https://www.klikindomaret.com/category/sarapan","Sharon Roti Manis Creme Messes 200G","","Rp 16.000"
"1707541639-119","https://www.klikindomaret.com/category/sarapan","Simba Cereal Choco Chips + Kalsium Susu Coklat 34G","","Rp 7.900"
"1707541639-120","https://www.klikindomaret.com/category/sarapan","Simba Cereal Choco Chips + Kalsium Susu Putih 34G","","Rp 7.900"
